"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","94","962","1","35.617886","0","192"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Claire/Materials/M_Master.M_Master","0","17","18","1","12.560705","0","18"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Fergus/Meshes/Material.Material","0","30","10","1","18.429832","0","268"
"/Game/Fergus/Materials/M_Char_Fergus.M_Char_Fergus","0","24","2","1","17.561745","0","123"
"/Game/Lee/ArrowTextureRenderTarget2D_Mat.ArrowTextureRenderTarget2D_Mat","0","15","6","1","7.371349","0","41"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/Claire/Materials/M_Basic.M_Basic","0","28","2","1","22.115147","12","206"
"/Game/Becky/Pixelate.Pixelate","0","4","4","1","1.588315","0","4"
"/Game/Fergus/Materials/M_Char_3.M_Char_3","0","24","4","1","15.919666","0","76"
"/Game/Fergus/Materials/M_Char_5.M_Char_5","0","24","9","1","15.421268","0","61"
"/Game/Fergus/Materials/M_Char_2.M_Char_2","0","24","10","1","16.098297","0","64"
"/Game/Fergus/Materials/M_Char_1.M_Char_1","0","24","2","1","16.377806","0","74"
"/Game/Fergus/Materials/M_Char_6.M_Char_6","0","24","8","1","17.471533","0","66"
"/Game/Claire/Materials/M_Tree.M_Tree","0","34","10","1","20.789436","0","126"
"/Game/Fergus/Meshes/Garage_Vehicle_Texture.Garage_Vehicle_Texture","0","12","12","1","10.995762","0","14"
"/Game/Fergus/Meshes/Car_Texture_2.Car_Texture_2","0","12","12","1","10.326210","0","16"
"/Game/Fergus/Meshes/Fergus_002.Fergus_002","0","12","12","1","10.072762","0","18"
"/Game/Fergus/Materials/Material.Material","0","12","12","1","9.835440","0","20"
"/Game/Claire/Meshes/Material_002.Material_002","0","12","12","1","10.564038","0","22"
"/Game/Fergus/Textures/M_FionaHair.M_FionaHair","0","15","16","1","12.205232","0","22"
"/Game/Fergus/Materials/M_Char_Fiona.M_Char_Fiona","0","24","10","1","18.036238","0","63"
"/Game/Claire/Materials/MI_White.MI_White","0","12","1","1","8.825276","0","35"
"/Game/Claire/Materials/M_Watr.M_Watr","0","56","10","1","40.771694","0","246"
"/Game/Lee/M_NewsRoom.M_NewsRoom","0","12","12","1","8.760598","0","21"
"/Game/Fergus/Textures/M_Shapes.M_Shapes","0","31","10","1","26.617685","0","112"
"/Game/Fergus/Textures/PTree.PTree","0","40","12","1","24.790689","0","142"
"/Game/Fergus/Meshes/Fergus_003.Fergus_003","0","12","12","1","9.230755","0","18"
"/Game/Fergus/Materials/Fergus.Fergus","0","4","4","1","2.239632","0","4"
"/Game/Fergus/Fergus.Fergus","0","24","10","1","16.067471","0","62"
